id;operacion;fecha_operacion;modo;precio;accion_id;cantidad;cliente;accion;operacion_exitosa;operacion_observaciones;reportada
1;Account;2023-11-14T04:38:07;Tajikistan;16505;70176;76320;97072;deposit;true;Micronesia Grupo;true
2;Canarias e-commerce;2023-11-14T04:42:20;feed;81081;90934;89051;22755;estatica website Bricolaje;true;Bricolaje Money política;true
3;Paradigma New Account;2023-11-14T12:03:07;Manat protocol;24090;31676;19684;54509;back-end Distrito;false;Madera Namibia;false
4;Camino Dollar Loan;2023-11-14T01:59:01;customized Fantástico invoice;13189;63687;95383;26374;Guapo integrate Avenida;false;back-end SMTP calculating;true
5;website driver;2023-11-13T23:41:51;drive hack alarm;67330;36245;97686;67967;Jefe Azul;true;SAS Madera;false
6;Salida Director;2023-11-14T20:20:37;invoice;63586;18134;83219;838;bypassing action-items Metal;false;Hecho redundant;true
7;Universal;2023-11-14T05:27:47;back Gris acompasada;2235;50199;42334;44588;Tunez;false;División;false
8;Configurable Card Asistente;2023-11-14T17:58:14;integrate;3687;78781;49164;99747;Camiseta holistic;true;Entrada;false
9;Account 1080p Bloque;2023-11-14T02:52:05;deposit Avon Asturias;73613;44178;75760;39815;Market;false;Guapo Sorprendente;true
10;Extendido Teclado didactica;2023-11-14T21:00:02;Ingeniería;8565;3938;16152;25446;deposit Pequeño;true;Parafarmacia Buckinghamshire Valenciana;false
